name,F,M,All,ratio,gender
Dori,4778.0,,4778.0,,
Dorinda,4778.0,,4778.0,,
Claudio,27.0,4747.0,4774.0,7.45791283227,1.0
Lucio,,4768.0,4768.0,,
Salena,4768.0,,4768.0,,
Litzy,4761.0,6.0,4767.0,-9.63208641284,0.0
Leigha,4766.0,,4766.0,,
Karmen,4752.0,10.0,4762.0,-8.89239102591,0.0
Jedidiah,18.0,4741.0,4759.0,8.04105067628,1.0
Khalid,,4756.0,4756.0,,
Vivien,4724.0,26.0,4750.0,-7.50535353126,0.0
Jessenia,4750.0,,4750.0,,
Codi,2997.0,1747.0,4744.0,-0.778639475597,0.0
Sarita,4737.0,,4737.0,,
Amiyah,4737.0,,4737.0,,
Vilma,4725.0,,4725.0,,
Zakary,,4725.0,4725.0,,
Refugio,861.0,3863.0,4724.0,2.16563653484,1.0
Ashtyn,3930.0,793.0,4723.0,-2.30913654144,0.0
Dickie,260.0,4457.0,4717.0,4.09948943258,1.0
Livia,4712.0,,4712.0,,
Lakeshia,4708.0,,4708.0,,
Zara,4707.0,,4707.0,,
Destin,547.0,4155.0,4702.0,2.92523573887,1.0
Kalie,4702.0,,4702.0,,
Brandyn,414.0,4286.0,4700.0,3.37192917718,1.0
Casie,4681.0,18.0,4699.0,-8.02267604827,0.0
Jeromy,,4698.0,4698.0,,
Afton,4053.0,643.0,4696.0,-2.65609953272,0.0
Landyn,491.0,4204.0,4695.0,3.09796773965,1.0
Farrell,467.0,4228.0,4695.0,3.17848092167,1.0
Rubie,4648.0,46.0,4694.0,-6.65883239735,0.0
Koby,55.0,4638.0,4693.0,6.39792739112,1.0
Lafayette,21.0,4670.0,4691.0,7.79688941182,1.0
Brittanie,4690.0,,4690.0,,
Breonna,4690.0,,4690.0,,
Gearldine,4685.0,5.0,4690.0,-9.87190523766,0.0
Kalvin,,4689.0,4689.0,,
Waymon,,4688.0,4688.0,,
Nena,4687.0,,4687.0,,
Wylie,217.0,4463.0,4680.0,4.36224685881,1.0
Karan,3450.0,1229.0,4679.0,-1.48911144618,0.0
Alexi,3362.0,1312.0,4674.0,-1.35755200462,0.0
Lashanda,4674.0,,4674.0,,
Casimir,,4671.0,4671.0,,
Marin,3882.0,785.0,4667.0,-2.30603555893,0.0
Demarco,,4667.0,4667.0,,
Ferne,4665.0,,4665.0,,
Samira,4665.0,,4665.0,,
Laron,115.0,4542.0,4657.0,5.30362193976,1.0
Margarito,,4653.0,4653.0,,
Katia,4650.0,,4650.0,,
Kati,4647.0,,4647.0,,
Jamarion,,4646.0,4646.0,,
Aleena,4644.0,,4644.0,,
Hosea,20.0,4620.0,4640.0,7.85174904142,1.0
Lorinda,4639.0,,4639.0,,
Lavinia,4638.0,,4638.0,,
Lupita,4637.0,,4637.0,,
Isela,4636.0,,4636.0,,
Kinsley,4558.0,77.0,4635.0,-5.88739866857,0.0
Shira,4634.0,,4634.0,,
Garett,,4634.0,4634.0,,
Shalonda,4632.0,,4632.0,,
Giuseppe,,4629.0,4629.0,,
Cydney,4603.0,25.0,4628.0,-7.52450253745,0.0
Vergie,4581.0,47.0,4628.0,-6.60685799584,0.0
Bernita,4628.0,,4628.0,,
Abagail,4624.0,,4624.0,,
Ronna,4622.0,,4622.0,,
Sydnie,4621.0,,4621.0,,
Ford,,4621.0,4621.0,,
Matias,,4620.0,4620.0,,
Miya,4617.0,,4617.0,,
Maximillian,,4616.0,4616.0,,
Evans,17.0,4599.0,4616.0,8.07964164113,1.0
Florene,4616.0,,4616.0,,
Levon,433.0,4179.0,4612.0,3.2707188286,1.0
Shad,,4612.0,4612.0,,
Jakayla,4609.0,,4609.0,,
Zina,4597.0,10.0,4607.0,-8.84454885593,0.0
Madalynn,4603.0,,4603.0,,
Darell,10.0,4584.0,4594.0,8.84046323387,1.0
Yoselin,4594.0,,4594.0,,
Jesica,4594.0,,4594.0,,
Hailie,4593.0,,4593.0,,
Erlinda,4590.0,,4590.0,,
Alvie,591.0,3998.0,4589.0,2.75804843657,1.0
Tye,287.0,4300.0,4587.0,3.9052140178,1.0
Winnifred,4583.0,,4583.0,,
Cinda,4583.0,,4583.0,,
Kevon,56.0,4527.0,4583.0,6.33698466919,1.0
Jayde,4283.0,299.0,4582.0,-3.84040428769,0.0
Ossie,2912.0,1670.0,4582.0,-0.802162252837,0.0
Nickie,3142.0,1438.0,4580.0,-1.12761950485,0.0
Yasmeen,4580.0,,4580.0,,
Brain,10.0,4569.0,4579.0,8.83573463232,1.0
Matthias,,4578.0,4578.0,,
Monserrat,4550.0,26.0,4576.0,-7.45121111183,0.0
Adrain,569.0,4006.0,4575.0,2.81566186351,1.0
Marquez,5.0,4567.0,4572.0,9.83510297949,1.0
Alize,4251.0,309.0,4560.0,-3.78212351573,0.0
Sariah,4559.0,,4559.0,,
Taliyah,4559.0,,4559.0,,
Annalisa,4555.0,,4555.0,,
Laken,3913.0,634.0,4547.0,-2.62572036476,0.0
Racquel,4542.0,5.0,4547.0,-9.82718389582,0.0
Jaren,253.0,4293.0,4546.0,4.08477688275,1.0
Karma,4485.0,61.0,4546.0,-6.20015493224,0.0
Norberto,,4543.0,4543.0,,
Elizebeth,4543.0,,4543.0,,
Gil,,4542.0,4542.0,,
Mellisa,4541.0,,4541.0,,
Santo,,4540.0,4540.0,,
Tarah,4539.0,,4539.0,,
Krystina,4533.0,,4533.0,,
Reynold,,4530.0,4530.0,,
Dennie,812.0,3716.0,4528.0,2.1941988692,1.0
Ottis,174.0,4352.0,4526.0,4.6445193454,1.0
Christophe,,4524.0,4524.0,,
Cleve,23.0,4498.0,4521.0,7.61150598972,1.0
Caesar,,4519.0,4519.0,,
Tyesha,4518.0,,4518.0,,
Glendon,64.0,4453.0,4517.0,6.12056189644,1.0
Denton,,4511.0,4511.0,,
Lainey,4511.0,,4511.0,,
Arlo,27.0,4483.0,4510.0,7.37536128189,1.0
Tanika,4509.0,,4509.0,,
Boston,347.0,4160.0,4507.0,3.58357596045,1.0
Giovanny,30.0,4475.0,4505.0,7.22078137143,1.0
Savana,4504.0,,4504.0,,
Abigale,4503.0,,4503.0,,
Antione,49.0,4451.0,4500.0,6.50520394134,1.0
Winford,,4497.0,4497.0,,
Janey,4497.0,,4497.0,,
Cal,10.0,4487.0,4497.0,8.80960737379,1.0
Isai,22.0,4474.0,4496.0,7.66791792242,1.0
Aundrea,4315.0,181.0,4496.0,-4.57529895698,0.0
Jase,41.0,4453.0,4494.0,6.76300989182,1.0
Jeane,4478.0,16.0,4494.0,-8.12863881285,0.0
Draven,194.0,4298.0,4492.0,4.46953692524,1.0
Jovani,104.0,4383.0,4487.0,5.39726324538,1.0
Brionna,4485.0,,4485.0,,
Holland,2431.0,2054.0,4485.0,-0.243113711711,0.0
Jamarcus,,4484.0,4484.0,,
Adelia,4482.0,,4482.0,,
Carin,4480.0,,4480.0,,
Chyna,4478.0,,4478.0,,
Jevon,86.0,4388.0,4474.0,5.6730830557,1.0
Len,107.0,4361.0,4468.0,5.34897628868,1.0
Deion,113.0,4350.0,4463.0,5.26662072321,1.0
Anabelle,4461.0,,4461.0,,
Charlee,4345.0,116.0,4461.0,-5.22715946657,0.0
Rueben,,4460.0,4460.0,,
Ayesha,4458.0,,4458.0,,
Giles,,4457.0,4457.0,,
Loran,787.0,3668.0,4455.0,2.22055809809,1.0
Delton,,4450.0,4450.0,,
Xzavier,,4446.0,4446.0,,
Ethelyn,4444.0,,4444.0,,
Keyon,101.0,4343.0,4444.0,5.4262647547,1.0
Madaline,4443.0,,4443.0,,
Madisen,4440.0,,4440.0,,
Saniya,4440.0,,4440.0,,
Carolee,4439.0,,4439.0,,
Natalya,4438.0,,4438.0,,
Nada,4432.0,,4432.0,,
Myranda,4429.0,,4429.0,,
Lavada,4425.0,,4425.0,,
